object_annotation_hierarchy2;Type;Sub_type;Value
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Amphorides;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Codonellopsis;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Codonellopsis>Codonellopsis morchella;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>empty;non_living;ciliophora;-1
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Epiplocylididae>Epicancella>Epicancella nervosa;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Eutintinnus;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Salpingella;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Steenstrupiella;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Tintinnidae X>Poroecus;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Tintinnidium;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Tintinnopsis>Tintinnopsis campanula;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Tintinnidiidae>Tintinnopsis>Tintinnopsis radix;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Undellidae;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Undellidae>Amplectella;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Undellidae>Undella;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Xystonellidae;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Xystonellidae>Dadayiella;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Xystonellidae>Dadayiella>Dadayiella ganymedes;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Xystonellidae>Parundella;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Xystonellidae>Xystonellopsis;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Xystonellidae>Xystonellopsis>Xystonellopsis dicymatica;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Xystonellidae>Xystonellopsis>Xystonellopsis paradoxa;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Oligotrichia>Strombidiidae>Laboea>Laboea strobila;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>naked;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>part;non_living;detritus;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>cyst;living;dinoflagellata;-1
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophyceae X;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophyceae X>Ceratium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophyceae X>Dinophyceae X sp.;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophyceae X>Heterodinium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophyceae X>Neoceratium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Amphisoleniaceae>Amphisolenia;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Amphisoleniaceae>Amphisolenia>Amphisolenia bidentata;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Amphisoleniaceae>Amphisolenia>Amphisolenia globifera;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Amphisoleniaceae>Triposolenia;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Dinophysis;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Dinophysis>Dinophysis acuta;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Dinophysis>Dinophysis caudata;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Dinophysis>Dinophysis hastata;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Dinophysis>dinophysis schuettii;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Dinophysis>Dinophysis tripos;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Ornithocercus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Ornithocercus>Ornithocercus heteroporus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Ornithocercus>Ornithocercus inter>alphacyanobacterium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Ornithocercus>Ornithocercus magnificus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Ornithocercus>Ornithocercus quadratus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Ornithocercus>Ornithocercus splendidus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Ornithocercus>Ornithocercus steinii;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Phalacroma;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Phalacroma>Phalacroma cuneus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Phalacroma>Phalacroma doryphorum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Phalacroma>Phalacroma favus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Phalacroma>Phalacroma rapa;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Dinophysiales>Dinophysaceae Oxyphysaceae>Phalacroma>Phalacroma rotundatum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Ceratium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium arietinum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium candelabrum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium concilians;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium contortum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium contrarium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium declinatum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium digitatum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium euarcuatum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium furca;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium fusus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium geniculatum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium gravidum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium hexacanthum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium incisum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium inflatum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium karstenii;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium limulus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium lineatum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium macroceros;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium massiliense;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium pentagonum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium platycorne;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium pulchellum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium ranipes;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium symmetricum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Neoceratium>Neoceratium tripos;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratocoryaceae>Ceratocorys;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratocoryaceae>Ceratocorys>Ceratocorys horrida;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Cladopyxidaceae>Cladopyxis;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Pyrocystaceae;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Pyrocystaceae>multiple;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Pyrocystaceae>Pyrocystis;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Pyrocystaceae>Pyrocystis>Pyrocystis lunula;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Pyrocystaceae>Pyrocystis>Pyrocystis noctiluca;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Pyrophacaceae>Pyrophacus;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>Gymnodiniaceae>Amphidinium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>Gymnodiniaceae>Amphidinium>Amphidinium sp.;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>Gymnodiniaceae>Amphidinium>Amphidinium sphenoides;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>Gymnodiniaceae>Gyrodinium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>Gymnodiniaceae>Torodinium>Torodinium robustum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>Kareniaceae>Karenia>Karenia mikimotoi;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>Warnowiaceae>Nematopsides>Nematopsides vigilans;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>Warnowiaceae>Warnowia;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Noctilucales;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Noctilucales>4>Noctilucaceae>Noctiluca;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>2>Protoperidiniaceae;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Amphidomataceae>Oxytoxum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Heterocapsaceae>Heterocapsa;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Heterocapsaceae>Heterocapsa>Heterocapsa rotundata;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Heterocapsaceae>Heterocapsa>Heterocapsa triquetra;living;dinoflagellata;15
