object_annotation_hierarchy2;Type;Sub_type;Value
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Castanellidae;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>leg;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>like;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeocystida>Aulacanthidae>Aulacantha;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeodendrida>Coelodendridae;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeodendrida>Coelodendridae>Coelodendrum;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeodendrida>Coelodendridae>Coelographis;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeodendrida>Coelodendridae>leg;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeogromida;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeogromida>Challengeridae;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeogromida>Challengeridae>Challengeron;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeogromida>Medusettidae;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeogromida>Phaeogromida X;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeosphaerida>Aulosphaeridae;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeosphaerida>Aulosphaeridae>colonial;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeosphaerida>Aulosphaeridae>colonial>like;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeosphaerida>Cannosphaeridae;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Filosa>Thecofilosea>Phaeodaria>leg;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Filosa>Thecofilosea>Phaeodaria>sphereeye;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Filosa>Thecofilosea>Phaeodaria>spherethorn;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea>Arthra Symphy>Arthra Symphy F2>Amphilitidae F2>Amphibelone;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea>spines;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>clade RadB>Sticholonche lineage>Sticholonche;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Foraminifera;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Foraminifera>Globorotalidae;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Foraminifera>Globorotaliidae;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Foraminifera>Globothalamea>Rotaliida>Globigerinacea>Globigerinoides;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Foraminifera>Globothalamea>Rotaliida>Globigerinacea>Orbulina;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Foraminifera>Globothalamea>Rotaliida>Globigerinacea>Orbulina>Orbulina universa;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Foraminifera>Globothalamea>Rotaliida>R clade 2>Rosalina>Rosalina sp.;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Foraminifera>Globothalamea>Textulariida>Eggerelloides;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Foraminifera>unclassified Foraminifera>Foraminifera sp.;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>collonial;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>colonial;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>solitaryblack;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>solitaryfuzzy;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>solitaryglobule;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>solitarygrey;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>Sphaerozoidae>Collozoum;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Nassellaria;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Nassellaria>Cystidium;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Nassellaria>Nassellaria>Nassellaria X>Nassellaria X sp.;living;rhizaria;35
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Nassellaria>Pterocorythidae>Pterocorys;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Nassellaria>Pterocorythidae>Pterocorys>Pterocorys zancleus;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Nassellaria>Theoperidae;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Spumellaria;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Spumellaria>Spongodiscidae>Coccodiscidae>Dictyocoryne;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Rhizaria X;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>spines;non_living;detritus;-1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>araphid pennates>Bleakeleya;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>araphid pennates>Bleakeleya>Bleakeleya notata;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Amphora;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Asterionella;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Asterionella>Asterionella formosa;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Asterionella>Asterionella glacialis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Asterionellopsis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Asterionellopsis>Asterionellopsis glacialis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Bacillaria;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Bacillariales>Bacillariaceae;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>cell;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Cocconeis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae>Asterolamprales;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae>Asterolamprales>Asterolampra;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae>Chaetocerotales>Bacteriastrum;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae>Chaetocerotales>Chaetoceros>Chaetoceros protuberans;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae>Coscinodiscales;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae>Coscinodiscales>Gossleriellaceae>Gossleriella;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae>Coscinodiscales>Hemidiscaceae>Hemidiscus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae>Hemiaulales>Climacodium;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Coscinodiscophycidae>Hemiaulales>Climacodium>Climacodium inter. Crocosphaera;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Cylindrotheca;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Cylindrotheca>Cylindrotheca closterium;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Diatoma;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Diatoma>chainlarge;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Diatoma>chainthin;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Diatoma>Diatoma>temporali;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Diatoma>Diatoma>temporalii;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Diatoma>multiple;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Diploneis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Entomoneis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Fragilariopsis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Fragilariopsis>Fragillariopsis 1 temp;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Fragilariopsis>Fragillariopsis 2 temp;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Fragilariopsis>Fragillariopsis 3 temp;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Gyrosigma;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Licmophora;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Lioloma;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Membraneis>Membraneis challengerii;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Meuniera;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Navicula;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Navicula>Navicula pelagica;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Navicula>Navicula sp.;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Nitzschia;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Nitzschia>Nitzschia chain;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Nitzschia>Nitzschia frigida;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Pleurosigma;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Pseudo>nitzschia;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Pseudo>nitzschia>Pseudo>Nitzschia chain;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Pseudo>nitzschia>Pseudo>nitzschia delicatissima;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Pseudo>nitzschia>Pseudo>nitzschia fraudulenta;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Pseudo>nitzschia>Pseudo>nitzschia prolongatiodes;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Pseudo>nitzschia>Pseudo>nitzschia seriata;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Pseudo>nitzschia>Pseudo>Nitzschia single;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Pseudo>nitzschia>Pseudo>nitzschia turgidula;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Striatella;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Striatella>Striatella unipunctata;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Synedropsis>Synedropsis hyperborea;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Tabellaria;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Thalassionema;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Thalassionema>Thalassionema nitzschioides;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Thalassionematales;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Triceratium;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Ardissonea;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Bacteriastrum;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Cerataulina;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Cerataulina>Cerataulina 2 temp;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Cerataulina>tempChaetoceros danicus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros 1 temp;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros affinis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros broken;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros chain;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros convolutus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros danicus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros debilis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros decipiens;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros diadema;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros inter. Calothrix;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros laciniosus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros peruvianus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros socialis;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros whigamii;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>spore;living;bacillariophyta;-1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Cyclotella;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Ditylum;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Eucampia;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Eucampia>Eucampia groenlandica;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Eucampia>Eucampia zodiacus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Helicotheca;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Hemiaulus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Hemiaulus>Hemiaulus inter. Richelia;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Lauderia;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Lauderia>Lauderia annulata;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Lithodesmioides;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Odontella;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Planktoniella;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Planktoniella>cell;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Planktoniella>Planktoniella sol;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Skeletonema;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Thalassiosira;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Thalassiosira>Thalassiosira anguste>lineata;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Thalassiosira>Thalassiosira bioculata;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Thalassiosira>Thalassiosira nordenskioeldii;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Thalassiosira>Thalassiosira poroseriata;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Trigonium;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>centric;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>centric>chain;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>centric>long;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophyceae>Asterolamprales temp;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Corethrids>Corethron;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Corethrids>Corethron>Corethron hystrix;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Coscinodiscids;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Coscinodiscids>Coscinodiscus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Coscinodiscophytina incertae sedis>Proboscia;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Coscinodiscophytina incertae sedis>Proboscia>Proboscia eumorpha;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Melosirids>Melosira;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Rhizosolenids;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Rhizosolenids>Dactyliosolen;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Rhizosolenids>Dactyliosolen>Dactyliosolen fragilissimus;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Rhizosolenids>Guinardia;living;bacillariophyta;1
living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Rhizosolenids>Guinardia>Guinardia 1 temp;living;bacillariophyta;1
